state,year_month,dengue_cases,temperature,humidity,precipitation
AM,2015-01,766,26.32,85.9,9.31
AM,2015-02,845,26.44,86.34,6.39
AM,2015-03,1140,26.05,89.03,11.37
AM,2015-04,872,26.1,89.51,7.04
AM,2015-05,851,26.33,88.78,11.25
AM,2015-06,705,26.45,86.67,5.44
AM,2015-07,532,27.84,76.49,4.1
AM,2015-08,418,30.55,61.31,1.46
AM,2015-09,427,33.0,45.88,0.91
AM,2015-10,354,33.07,49.82,1.93
AM,2015-11,296,30.77,63.94,2.95
AM,2015-12,675,30.64,63.48,4.36
AM,2016-01,1577,30.18,68.13,6.63
AM,2016-02,2538,28.04,81.86,9.86
AM,2016-03,2355,27.0,90.16,10.69
AM,2016-04,2860,26.74,89.86,10.04
AM,2016-05,1626,26.74,89.17,6.81
AM,2016-06,1143,26.28,87.05,5.22
AM,2016-07,807,27.1,82.42,4.34
AM,2016-08,529,28.84,72.45,1.99
AM,2016-09,374,29.32,69.63,3.66
AM,2016-10,331,30.25,66.41,4.9
AM,2016-11,503,30.28,66.95,3.61
AM,2016-12,551,26.95,84.26,11.74
AM,2017-01,1326,25.95,88.86,9.61
AM,2017-02,1304,25.98,88.98,13.17
AM,2017-03,1225,26.09,89.3,10.09
AM,2017-04,965,26.01,90.91,13.35
AM,2017-05,637,26.63,88.77,5.69
AM,2017-06,413,26.39,88.45,6.08
AM,2017-07,418,26.33,85.04,4.86
AM,2017-08,431,28.89,73.27,1.57
AM,2017-09,479,29.75,69.41,4.5
AM,2017-10,385,28.72,75.94,4.51
AM,2017-11,342,28.63,76.34,3.85
AM,2017-12,345,26.87,85.98,9.7
AM,2018-01,600,25.8,90.07,8.15
AM,2018-02,541,26.0,89.51,10.38
AM,2018-03,569,26.3,90.03,8.8
AM,2018-04,581,25.78,89.95,14.76
AM,2018-05,399,25.75,90.19,8.24
AM,2018-06,389,25.94,89.44,7.84
AM,2018-07,402,26.37,85.82,2.76
AM,2018-08,378,26.97,83.0,1.66
AM,2018-09,246,28.24,76.84,3.1
AM,2018-10,200,29.71,70.48,2.73
AM,2018-11,169,28.71,76.55,3.89
AM,2018-12,212,26.14,88.78,11.1
AM,2019-01,450,26.1,90.52,13.84
AM,2019-02,494,26.26,91.38,11.98
AM,2019-03,404,26.66,89.85,10.67
AM,2019-04,427,26.46,90.13,12.29
AM,2019-05,382,26.35,90.19,14.64
AM,2019-06,344,26.46,90.11,5.04
AM,2019-07,322,26.51,86.95,4.14
AM,2019-08,261,27.34,81.92,2.61
AM,2019-09,322,28.17,81.15,4.33
AM,2019-10,1028,27.12,84.96,6.13
AM,2019-11,1637,27.19,85.28,5.77
AM,2019-12,1899,26.84,88.62,8.32
AM,2020-01,2052,26.71,88.76,7.31
AM,2020-02,1304,26.81,89.15,7.13
AM,2020-03,1304,26.8,89.61,12.38
AM,2020-04,776,26.44,88.91,9.61
AM,2020-05,803,26.51,89.99,8.51
AM,2020-06,821,26.14,89.67,6.16
AM,2020-07,507,26.32,87.99,2.28
AM,2020-08,381,27.69,80.9,1.39
AM,2020-09,384,28.94,74.19,4.85
AM,2020-10,558,27.69,82.14,3.45
AM,2020-11,593,27.22,84.9,8.88
AM,2020-12,740,26.57,87.92,8.46
AM,2021-01,1337,26.29,88.23,11.32
AM,2021-02,2031,26.39,89.49,11.33
AM,2021-03,2705,25.8,89.01,18.44
AM,2021-04,2047,26.27,88.29,8.2
AM,2021-05,1785,26.58,88.01,6.3
AM,2021-06,1312,26.34,87.85,7.49
AM,2021-07,1036,26.22,86.71,7.69
AM,2021-08,697,26.85,84.99,5.52
AM,2021-09,446,27.15,84.11,3.41
AM,2021-10,364,27.3,84.67,5.6
AM,2021-11,533,26.92,86.53,9.36
AM,2021-12,571,26.43,89.44,9.52
AM,2022-01,291,26.02,90.42,8.24
AM,2022-02,398,25.75,89.71,7.93
AM,2022-03,594,25.9,89.07,9.69
AM,2022-04,444,26.03,88.88,11.06
AM,2022-05,384,25.85,89.4,6.38
AM,2022-06,245,25.62,88.03,6.58
AM,2022-07,188,26.47,87.32,2.85
AM,2022-08,175,26.8,85.46,1.35
AM,2022-09,542,28.51,76.28,1.74
AM,2022-10,899,27.96,79.16,3.94
AM,2022-11,614,28.03,76.3,3.09
AM,2022-12,582,26.79,83.97,6.04
AM,2023-01,888,25.65,87.94,7.36
AM,2023-02,837,25.9,89.18,8.78
AM,2023-03,570,26.1,88.63,7.14
AM,2023-04,554,26.21,88.69,5.56
AM,2023-05,483,26.42,90.81,5.28
AM,2023-06,325,26.43,88.97,2.96
AM,2023-07,423,27.3,84.25,1.82
AM,2023-08,252,29.85,68.02,0.8
AM,2023-09,291,32.07,55.36,1.17
AM,2023-10,281,32.8,53.67,2.03
AM,2023-11,441,31.43,62.32,3.53
AM,2023-12,974,28.29,81.15,7.48
AM,2024-01,2082,27.36,87.25,3.13
AM,2024-02,1844,27.43,88.18,6.75
AM,2024-03,1229,27.14,88.76,9.2
AM,2024-04,620,27.07,88.79,6.86
AM,2024-05,314,26.96,90.57,8.69
AM,2024-06,219,26.97,89.06,3.91
AM,2024-07,274,27.17,85.61,2.02
AM,2024-08,321,29.86,65.5,1.23
AM,2024-09,349,32.5,52.25,2.29
AM,2024-10,374,33.14,51.05,1.97
AM,2024-11,417,31.53,60.62,2.94
AM,2024-12,411,28.73,76.44,4.8
BA,2015-01,1629,26.67,73.0,0.5
BA,2015-02,3785,26.92,76.07,3.66
BA,2015-03,14174,27.3,74.29,1.18
BA,2015-04,15035,27.32,77.36,9.7
BA,2015-05,13125,25.51,84.03,13.44
BA,2015-06,7250,24.33,85.2,2.04
BA,2015-07,7116,23.85,83.04,1.28
BA,2015-08,4062,23.45,78.94,0.77
BA,2015-09,3263,24.98,74.62,0.07
BA,2015-10,2261,26.08,71.44,0.32
BA,2015-11,3237,27.65,68.06,0.62
BA,2015-12,5390,27.54,68.53,0.56
BA,2016-01,9644,27.27,78.09,6.84
BA,2016-02,26664,27.42,74.42,0.22
BA,2016-03,23866,27.66,73.5,0.19
BA,2016-04,9950,27.16,73.78,1.24
BA,2016-05,4242,25.87,78.63,1.92
BA,2016-06,1603,25.17,77.59,0.77
BA,2016-07,1198,24.17,77.08,0.45
BA,2016-08,879,24.2,77.86,3.15
BA,2016-09,770,24.58,76.18,2.73
BA,2016-10,1097,25.79,75.38,3.04
BA,2016-11,1178,26.34,74.28,1.92
BA,2016-12,1572,27.19,70.84,1.74
BA,2017-01,2961,27.06,69.35,0.09
BA,2017-02,2190,26.96,73.47,2.72
BA,2017-03,2112,27.02,75.19,3.77
BA,2017-04,1672,26.46,79.35,5.0
BA,2017-05,1549,25.46,80.6,4.59
BA,2017-06,1082,24.67,79.56,0.81
BA,2017-07,863,23.23,77.16,1.07
BA,2017-08,666,23.19,77.53,0.09
BA,2017-09,520,23.72,76.18,0.81
BA,2017-10,578,25.33,72.54,0.25
BA,2017-11,485,26.31,73.57,2.45
BA,2017-12,490,26.96,73.09,3.16
BA,2018-01,973,27.15,71.7,0.75
BA,2018-02,1066,27.32,72.46,1.66
BA,2018-03,1608,27.65,73.49,3.63
BA,2018-04,2508,26.28,77.51,6.44
BA,2018-05,2122,25.48,79.38,1.85
BA,2018-06,1192,24.48,79.89,1.31
BA,2018-07,832,23.81,75.88,0.26
BA,2018-08,813,24.28,76.5,0.87
BA,2018-09,626,24.99,73.46,0.59
BA,2018-10,804,26.37,71.93,0.96
BA,2018-11,811,26.58,72.98,3.21
BA,2018-12,955,26.72,74.67,3.07
BA,2019-01,3465,27.19,70.77,0.54
BA,2019-02,5988,28.55,69.67,0.16
BA,2019-03,7913,28.08,74.77,7.07
BA,2019-04,10758,27.68,76.83,4.95
BA,2019-05,18287,26.9,77.96,6.48
BA,2019-06,11969,25.43,76.04,1.16
BA,2019-07,8815,24.4,76.17,3.27
BA,2019-08,5671,23.9,77.11,0.53
BA,2019-09,3977,24.7,76.7,0.33
BA,2019-10,3106,26.01,72.63,1.87
BA,2019-11,2650,27.16,70.24,4.32
BA,2019-12,2167,27.34,70.9,0.97
BA,2020-01,4022,27.42,74.07,3.68
BA,2020-02,8358,27.98,74.17,2.1
BA,2020-03,13054,27.7,76.79,7.54
BA,2020-04,21823,27.2,79.29,11.97
BA,2020-05,26130,25.82,82.7,10.2
BA,2020-06,16772,25.06,80.42,2.03
BA,2020-07,8306,24.23,78.28,1.94
BA,2020-08,3052,24.01,78.24,1.32
BA,2020-09,1698,24.78,75.02,0.65
BA,2020-10,1351,26.58,72.92,1.42
BA,2020-11,1270,26.67,74.23,3.3
BA,2020-12,947,27.31,68.72,0.4
BA,2021-01,2227,27.07,73.04,2.1
BA,2021-02,6012,27.59,71.94,0.52
BA,2021-03,7552,27.34,70.35,0.48
BA,2021-04,6819,26.77,77.68,6.99
BA,2021-05,5585,25.59,76.05,2.32
BA,2021-06,2758,25.08,77.14,0.88
BA,2021-07,1286,24.07,80.91,2.42
BA,2021-08,686,23.59,77.56,1.32
BA,2021-09,561,25.21,73.93,0.86
BA,2021-10,532,26.79,72.64,3.12
BA,2021-11,1034,26.6,79.25,8.68
BA,2021-12,1782,26.57,80.83,10.3
BA,2022-01,1711,26.76,76.49,1.78
BA,2022-02,2657,27.52,75.82,2.65
BA,2022-03,6346,26.8,80.34,7.83
BA,2022-04,8265,26.71,78.64,10.27
BA,2022-05,7037,25.79,77.15,1.57
BA,2022-06,2990,24.52,77.73,0.63
BA,2022-07,1607,23.98,77.88,0.63
BA,2022-08,1291,23.74,75.06,0.37
BA,2022-09,830,24.48,75.89,0.41
BA,2022-10,934,26.05,74.42,2.03
BA,2022-11,1002,26.13,78.83,7.09
BA,2022-12,1062,26.55,78.03,2.28
BA,2023-01,3846,27.21,74.25,1.47
BA,2023-02,5047,27.62,73.32,2.14
BA,2023-03,5891,27.32,75.11,4.53
BA,2023-04,5624,27.43,75.3,1.98
BA,2023-05,6725,26.16,80.22,7.15
BA,2023-06,5970,24.89,79.95,1.97
BA,2023-07,5186,24.39,78.67,0.71
BA,2023-08,3123,24.89,77.14,0.43
BA,2023-09,1790,25.74,74.03,0.36
BA,2023-10,1493,26.93,69.66,0.24
BA,2023-11,1460,27.66,70.07,1.33
BA,2023-12,1319,27.99,70.6,2.82
BA,2024-01,5054,28.39,73.73,4.77
BA,2024-02,30966,27.86,77.89,7.32
BA,2024-03,74914,29.03,73.97,2.51
BA,2024-04,67257,27.75,82.21,14.96
BA,2024-05,32199,26.38,80.47,3.49
BA,2024-06,8761,25.21,79.78,2.37
BA,2024-07,4239,24.6,75.2,0.31
BA,2024-08,2279,24.68,76.63,0.63
BA,2024-09,1476,25.01,71.94,0.31
BA,2024-10,1219,26.79,72.38,1.27
BA,2024-11,1471,27.12,72.5,5.63
BA,2024-12,1433,27.93,69.27,0.09
GO,2015-01,15843,24.93,71.35,2.89
GO,2015-02,22703,23.26,80.02,7.96
GO,2015-03,37546,22.64,84.78,10.25
GO,2015-04,38668,23.03,84.36,6.98
GO,2015-05,40283,20.76,81.08,2.6
GO,2015-06,17888,20.56,70.38,0.04
GO,2015-07,5550,21.87,58.94,0.13
GO,2015-08,2973,24.03,41.48,0.2
GO,2015-09,2118,27.28,42.43,1.32
GO,2015-10,2884,29.16,43.67,2.27
GO,2015-11,5073,25.37,74.22,10.88
GO,2015-12,9734,24.79,75.17,5.15
GO,2016-01,22970,23.2,87.91,14.95
GO,2016-02,38272,23.94,81.27,6.08
GO,2016-03,36957,23.6,82.58,7.16
GO,2016-04,24821,22.83,72.72,0.05
GO,2016-05,11726,22.3,67.41,0.89
GO,2016-06,4649,21.68,56.26,0.07
GO,2016-07,2154,22.94,43.18,0.6
GO,2016-08,1946,24.89,42.78,0.97
GO,2016-09,2091,27.34,41.37,1.38
GO,2016-10,2738,25.66,63.64,6.3
